BR1,BR2,BR3,BR4
-97.921336,40.307216,516.1456,317.060946179003
-97.934099,40.307109,515,318.14326591501
-97.944885,40.307161,514.7796,319.05789988522
-97.956935,40.307133,516,320.079715456257
-97.969119,40.307164,517.9640326,321.112886821536
-97.981647,40.307143,519.7856,322.175238055655
-97.992703,40.307193,516.6256,323.112793491367
-98.004305,40.307174,517.9128528,324.096645827369
-98.016543,40.307342,507.1919702,325.134689052911
-98.026839,40.307429,506,326.007803160252
-98.039317,40.307491,497.0324,327.065907044691
-98.053178,40.307545,507.7648,328.241281265175
-98.062189,40.307561,524.9066642,329.005623313748
-98.067204,40.312848,516.7962163,330.014297554304
-98.067236,40.322107,505.9504,331.043859112359
-98.067259,40.331436,504.977545,332.081212297424
-98.067193,40.34057,508.9425296,333.096971628236
-98.064503,40.348209,516.0376459,334.006724505471
-98.054275,40.353104,528.931984,335.034420501746
-98.051998,40.36518,529.9321344,336.424435969609
-98.051944,40.372366,529.9992282,337.223495808453
-98.051851,40.379687,531,338.037607614472
-98.051763,40.389909,534.3276,339.174266846108
-98.051689,40.398379,534.9196,340.116109512601
-98.051613,40.40877,534.9173104,341.271566858743
-98.051558,40.416041,535,342.080078581666
-98.051487,40.42448,537.3532,343.018472807629
-98.05145,40.43376,529.24192,344.050373247407
-98.058409,40.437768,534.6924,345.094841701622
-98.070441,40.437724,540.606,346.113147340338
-98.082807,40.437672,541.7616,347.159719763362
-98.093413,40.437662,545.7513235,348.057437501946
-98.105728,40.437711,539.6091597,349.09973326567
-98.116456,40.43764,543.496,350.007794658496
-98.12900375,40.43765247,546.1865367,351.071846177201
-98.14123314,40.4376317,547.1792587,352.106844421986
-98.15210371,40.43761215,547.7456157,353.026843509697
-98.16433309,40.43758895,550,354.061842185762
-98.17656246,40.43756446,552.0870511,355.09684075005
-98.187433,40.4375416,553.4039684,356.016839184847
-98.19966235,40.43751468,554.9471632,357.051837550328
-98.2118917,40.43748646,554.1806349,358.086836768379
-98.22276221,40.4374603,556,359.006834841149
-98.23499154,40.43742965,549.7239884,360.041834076869
-98.24722085,40.43739771,547.6304577,361.076832583996
-98.25945015,40.43736448,549.0280527,362.111831248564
-98.27005215,40.43730119,548.2842761,363.009130477876
-98.282733,40.437263,550.0236642,364.082417352202
-98.295691,40.437274,553,365.179086283659
-98.305574,40.437299,561,366.015518951436
-98.31871,40.437316,561.2174144,367.127252461501
-98.329941,40.437304,563.918,368.077760949368
-98.34314,40.437285,551.157296,369.19483504197
-98.353878,40.437287,543.2240586,370.10363379987
-98.364926,40.437246,541.0627962,371.038829666116
-98.38248,40.437244,570.7768448,372.524469755376
-98.388341,40.437245,561.0253368,373.020505482619
-98.400152,40.437261,571.0632109,374.020102337853
-98.40169,40.445804,564.252,375.079462926737
-98.401827,40.455701,550.8992,376.180205159438
-98.401854,40.464642,554.7112,377.174409917296
-98.401938,40.477794,563.0584,378.636863468434
-98.401976,40.483583,570.8864,379.280579004432
-98.402026,40.49119,575.2006176,380.126449643818
-98.40207,40.499401,581,381.039479693173
-98.402031,40.509851,579.3692578,382.201471673898
-98.402008,40.517156,579.0641459,383.013755026979
-98.402067,40.529915,585.306,384.4325270212
-98.402158,40.535658,585.7164666,385.07116579222
-98.402211,40.545775,587.8304,386.196137848736
-98.402042,40.553494,587.6247341,387.054577093085
-98.401994,40.563059,585.0124,388.118204918363
-98.397329,40.567948,585.1488397,389.046203623685
-98.392575,40.573456,588.407632,390.065030804496
-98.392472,40.582583,589.7012,391.079994814491
-98.392326,40.591669,593.3673235,392.091944077285
-98.392078,40.600582,595.848,393.084459771646
-98.388197,40.60785,586.2308,394.017096527643
-98.382929,40.617375,582.84942,395.262752830727
-98.382359,40.624214,587.086495,396.025190491767
-98.381978,40.633319,590,397.038539872454
-98.381784,40.642462,592.0761843,398.055732469805
-98.382218,40.652486,590.9496,399.17209203528
-98.382129,40.662471,593,400.282403520026
-98.38205,40.669751,586.8964,401.091930008331
-98.381927,40.684269,595.3684,402.706298223771
-98.381869,40.687504,595.996089,403.066047053908
-98.3803,40.695953,593.476336,404.017914119248
-98.378133,40.705671,596.1368,405.129903735765
-98.37822,40.720208,593.7488,406.746372076888
-98.378221,40.727455,593.9035128,407.552201714688
-98.378272,40.734728,595.5421926,408.360944543886
-98.378299,40.741989,590.1604,409.168339196877
-98.378648,40.751829,597.4156,410.263392424164
-98.378674,40.759269,597.1429942,411.090693441686
-98.378217,40.76797,594.8876192,412.05973055643
-98.378182,40.777887,597.2136,413.162502007759
-98.378213,40.785535,585.5347432,414.012924842269
-98.378248,40.79811,579.4722112,415.411205110229
-98.37827,40.80561,579.032,416.245187297326
-98.378285,40.814978,577.6951616,417.286887647838
-98.378259,40.821858,579.7898458,418.051952207422
-98.378354,40.831901,573.2616723,419.168757268903
-98.378407,40.839864,573.8854419,420.054214013546
-98.378375,40.849711,570.8904,421.149172872755
-98.378317,40.8582,573.392976,422.093122816977
-98.378146,40.866392,573,423.004149318546
-98.378037,40.879008,574,424.407112195913
-98.378187,40.887894,572,425.395287046608
-98.373265,40.88633,573.212,426.005399905565
-98.37343,40.882925,572.63112,426.541165076455
