HR1,HR2,HR3,HR4
-114.33838,42.533506,1203,190.005582238987
-114.352584,42.533607,1196.995524,191.169570222809
-114.362489,42.537301,1193.971631,192.083978817972
-114.364759,42.545017,1185.177394,193.043958359612
-114.373167,42.548205,1178.9392,194.073171474217
-114.387017,42.54825,1172.37312,195.207757905231
-114.396845,42.548292,1164,196.012871545545
-114.411454,42.54832,1156.824851,197.209633004674
-114.421263,42.5483,1158.398816,198.013183381999
-114.435145,42.548442,1154.3912,199.150511215534
-114.440568,42.553199,1144.968669,200.091234266146
-114.440592,42.561374,1143.9464,201.00032320459
-114.440598,42.572381,1133.8568,202.224295063683
-114.444348,42.577667,1129.607537,203.111460253966
-114.455368,42.577687,1126.3268,204.013856371503
-114.46765,42.577812,1124.54,205.019854411853
-114.479661,42.577986,1125.195212,206.003502952847
-114.471506,42.584867,1114.536,207.449549368513
-114.471514,42.584583,1116.552,207.481136237193
